featureid	state	dot_district	county	town
201476605	Vermont	2	Windham	Halifax
201476550	Vermont	2	Windham	Halifax
201476606	Vermont	2	Windham	Halifax
201476579	Vermont	2	Windham	Halifax
201476653	Vermont	2	Windham	Guilford
201476626	Vermont	2	Windham	Halifax
201476593	Vermont	1	Windham	Wilmington
201476593	Vermont	1	Windham	Readsboro
201476593	Vermont	1	Windham	Whitingham
201476593	Vermont	1	Bennington	Wilmington
201476593	Vermont	1	Bennington	Readsboro
201476593	Vermont	1	Bennington	Whitingham
201476662	Vermont	1	Windham	Whitingham
201476663	Vermont	1	Windham	Whitingham
201476700	Vermont	1	Windham	Whitingham
201476588	Vermont	1	Windham	Whitingham
201476661	Vermont	1	Bennington	Woodford
201476661	Vermont	1	Bennington	Stamford
201476603	Vermont	1	Bennington	Woodford
201476619	Vermont	1	Bennington	Readsboro
201476701	Vermont	1	Windham	Whitingham
201476886	Vermont	1	Windham	Whitingham
201476886	Vermont	1	Windham	Halifax
201476886	Vermont	2	Windham	Whitingham
201476886	Vermont	2	Windham	Halifax
201476652	Vermont	2	Windham	Guilford
201476744	Vermont	1	Bennington	Woodford
201476744	Vermont	1	Bennington	Stamford
201476613	Vermont	2	Windham	Halifax
201476762	Vermont	2	Windham	Halifax
201476687	Vermont	1	Bennington	Readsboro
201476641	Vermont	1	Bennington	Readsboro
201476625	Vermont	1	Bennington	Woodford
201476636	Vermont	1	Bennington	Woodford
201476753	Vermont	1	Bennington	Woodford
201476753	Vermont	1	Bennington	Stamford
201476805	Vermont	1	Bennington	Readsboro
201476683	Vermont	2	Windham	Halifax
201476683	Vermont	2	Windham	Guilford
201476810	Vermont	2	Windham	Guilford
201476779	Vermont	1	Windham	Whitingham
201476917	Vermont	2	Windham	Halifax
201476727	Vermont	1	Bennington	Readsboro
201476726	Vermont	1	Bennington	Readsboro
201476736	Vermont	1	Windham	Whitingham
201476778	Vermont	1	Windham	Readsboro
201476778	Vermont	1	Windham	Whitingham
201476778	Vermont	1	Bennington	Readsboro
201476778	Vermont	1	Bennington	Whitingham
201476733	Vermont	1	Bennington	Readsboro
201476732	Vermont	1	Bennington	Woodford
201476732	Vermont	1	Bennington	Readsboro
201476732	Vermont	1	Bennington	Stamford
201476782	Vermont	1	Bennington	Woodford
201476782	Vermont	1	Bennington	Readsboro
201476782	Vermont	1	Bennington	Stamford
201476804	Vermont	1	Bennington	Readsboro
201476768	Vermont	1	Windham	Whitingham
201476743	Vermont	1	Bennington	Readsboro
201476769	Vermont	1	Windham	Whitingham
201476741	Vermont	1	Bennington	Readsboro
201476852	Vermont	1	Bennington	Readsboro
201476859	Vermont	1	Bennington	Readsboro
201477005	Vermont	2	Windham	Halifax
201476781	Vermont	1	Bennington	Woodford
201476781	Vermont	1	Bennington	Stamford
201476890	Vermont	1	Bennington	Woodford
201476890	Vermont	1	Bennington	Stamford
201476880	Vermont	1	Bennington	Readsboro
201476763	Vermont	2	Windham	Halifax
201476892	Vermont	1	Windham	Whitingham
201476916	Vermont	2	Windham	Halifax
201476819	Vermont	1	Windham	Whitingham
201476910	Vermont	1	Windham	Whitingham
201476861	Vermont	1	Windham	Whitingham
201476841	Vermont	2	Windham	Halifax
201476909	Vermont	1	Windham	Whitingham
201477101	Vermont	2	Windham	Halifax
201476879	Vermont	1	Bennington	Readsboro
201476813	Vermont	2	Windham	Halifax
201476813	Vermont	2	Windham	Guilford
201477015	Vermont	2	Windham	Guilford
201476816	Vermont	1	Windham	Whitingham
201476885	Vermont	1	Windham	Whitingham
201476885	Vermont	1	Windham	Halifax
201476885	Vermont	2	Windham	Whitingham
